gender,income,credit_score,loan_amount,employment_years,score,approved
F,83570.0,386,276578.0,0,0.3572,0
F,32532.0,602,265869.0,5,0.4384,0
M,70398.0,300,39107.0,1,0.4242,0
F,97376.0,680,171484.0,26,0.6657,1
M,68394.0,661,93563.0,17,0.5732,0
M,65532.0,680,181700.0,28,0.6603,1
M,60171.0,461,130672.0,32,0.6132,1
M,28582.0,318,162240.0,2,0.3042,0
F,87111.0,542,306116.0,19,0.5468,0
M,47783.0,428,247525.0,3,0.3198,0
M,70090.0,475,300711.0,17,0.5794,0
M,28739.0,708,39932.0,7,0.514,0
F,36411.0,383,205797.0,21,0.4029,0
F,88702.0,675,296670.0,21,0.6301,1
F,53054.0,521,350630.0,18,0.3966,0
F,89066.0,624,45191.0,27,0.6542,1
M,58435.0,750,164852.0,1,0.5239,0
M,23162.0,715,303423.0,8,0.5622,0
F,77841.0,744,180772.0,34,0.6982,1
M,48202.0,624,108958.0,21,0.5848,0
M,73974.0,822,45000.0,25,0.805,1
M,60504.0,465,105130.0,33,0.5162,0
F,29138.0,537,31110.0,6,0.5445,0
F,63286.0,312,205846.0,29,0.3812,0
M,103924.0,556,289631.0,24,0.6879,1
F,69860.0,813,73903.0,8,0.6681,1
F,58850.0,509,225773.0,26,0.5941,0
F,81507.0,783,284527.0,0,0.5494,0
F,64213.0,664,199729.0,32,0.6095,1
F,64191.0,524,38931.0,7,0.4944,0
M,38167.0,493,238621.0,31,0.5795,0
F,64677.0,495,194535.0,39,0.6115,1
M,80709.0,699,184350.0,18,0.7421,1
M,43279.0,356,145316.0,35,0.5041,0
F,88490.0,512,208679.0,21,0.548,0
M,58166.0,578,250982.0,38,0.7337,1
M,42245.0,679,439065.0,25,0.6466,1
M,79953.0,416,211233.0,2,0.3739,0
F,54264.0,750,351114.0,8,0.5176,0
F,75190.0,709,235776.0,34,0.6865,1
M,54165.0,666,190047.0,6,0.5708,0
F,58803.0,412,214855.0,14,0.4485,0
F,69871.0,463,77826.0,3,0.512,0
F,65818.0,303,230586.0,36,0.4446,0
F,20089.0,322,10000.0,27,0.2845,0
M,37575.0,391,113733.0,8,0.2966,0
M,78588.0,768,210984.0,34,0.7789,1
F,57357.0,454,319398.0,24,0.4726,0
F,49525.0,506,343062.0,8,0.4427,0
M,32829.0,380,176345.0,32,0.6051,1
M,38405.0,782,215572.0,16,0.6785,1
F,20000.0,706,298436.0,11,0.5046,0
M,57974.0,402,67051.0,8,0.4635,0
F,48031.0,539,240475.0,4,0.3299,0
F,40668.0,564,117211.0,25,0.5303,0
M,58638.0,332,182817.0,18,0.3419,0
M,67279.0,334,154098.0,34,0.5878,0
F,101864.0,548,243536.0,1,0.4126,0
F,29762.0,349,255030.0,6,0.3297,0
M,83188.0,579,289108.0,8,0.596,0
F,79462.0,451,234820.0,21,0.5632,0
M,44418.0,836,217165.0,32,0.7223,1
F,64065.0,529,385402.0,15,0.4794,0
M,50847.0,587,47564.0,23,0.6357,1
M,63714.0,694,369561.0,7,0.6062,1
M,90183.0,752,171018.0,29,0.7972,1
F,72112.0,332,257089.0,25,0.4653,0
F,70172.0,662,167434.0,34,0.6481,1
M,51394.0,410,129746.0,16,0.4001,0
F,30319.0,420,248458.0,37,0.438,0
M,55831.0,315,304213.0,9,0.3596,0
M,84132.0,822,247301.0,16,0.7024,1
F,29457.0,397,145788.0,6,0.2934,0
F,38898.0,415,561135.0,1,0.3063,0
M,62525.0,770,319857.0,10,0.7227,1
F,40307.0,738,293334.0,2,0.4497,0
F,44150.0,580,164704.0,19,0.4645,0
M,51528.0,648,137483.0,12,0.5663,0
M,32688.0,531,172016.0,22,0.4699,0
F,40518.0,410,308141.0,16,0.2298,0
M,74069.0,651,100940.0,28,0.6533,1
M,33853.0,311,93180.0,38,0.4606,0
F,28043.0,787,253955.0,31,0.6691,1
M,47400.0,832,231920.0,34,0.7321,1
M,74639.0,584,122969.0,34,0.7591,1
F,56062.0,844,90880.0,33,0.7844,1
F,50708.0,691,343790.0,20,0.5271,0
M,60887.0,469,235700.0,15,0.4616,0
M,25086.0,376,63646.0,22,0.3845,0
F,69894.0,596,70637.0,10,0.4518,0
F,67669.0,629,163849.0,13,0.5939,0
F,51814.0,362,273284.0,2,0.2473,0
F,80118.0,569,259501.0,6,0.4901,0
M,37450.0,515,313168.0,39,0.5782,0
F,82558.0,489,50965.0,10,0.4515,0
F,63090.0,374,222385.0,32,0.5261,0
M,53269.0,809,342591.0,18,0.7117,1
F,59603.0,392,333280.0,22,0.4482,0
M,57855.0,352,235891.0,22,0.4696,0
F,84406.0,795,434802.0,28,0.7584,1
F,38466.0,393,260929.0,5,0.2615,0
F,44750.0,528,304275.0,38,0.5337,0
M,80726.0,549,204445.0,4,0.5326,0
M,48089.0,690,121902.0,31,0.6469,1
F,78011.0,481,112479.0,39,0.5774,0
M,93989.0,566,218162.0,25,0.6626,1
M,51964.0,580,178850.0,13,0.5893,0
M,73627.0,382,23141.0,17,0.5129,0
M,36926.0,485,97421.0,20,0.5706,0
M,75095.0,830,168160.0,24,0.7782,1
M,63988.0,647,272728.0,19,0.6275,1
F,69461.0,722,198393.0,23,0.6108,1
F,47089.0,753,192794.0,2,0.5513,0
M,26778.0,566,101309.0,21,0.5908,0
F,70065.0,806,202317.0,7,0.5861,0
F,20000.0,441,331910.0,28,0.4517,0
F,53653.0,615,215558.0,6,0.5282,0
F,78824.0,531,49269.0,5,0.4139,0
M,63838.0,596,74848.0,5,0.5488,0
F,98967.0,321,258879.0,11,0.4226,0
F,80502.0,683,177568.0,21,0.5161,0
M,46922.0,425,192542.0,25,0.4686,0
M,60546.0,402,138727.0,24,0.4415,0
F,59053.0,409,250341.0,18,0.3936,0
F,28356.0,771,169908.0,35,0.6502,1
F,41192.0,364,181339.0,34,0.444,0
F,48785.0,771,114878.0,12,0.632,1
F,20000.0,375,292169.0,24,0.4316,0
F,60950.0,318,177887.0,31,0.4422,0
M,55019.0,683,260788.0,29,0.7442,1
F,26542.0,489,80641.0,20,0.469,0
F,68084.0,659,373388.0,39,0.6805,1
M,74317.0,751,327737.0,7,0.7115,1
M,64541.0,378,10000.0,6,0.4025,0
M,53519.0,471,119806.0,2,0.4297,0
M,71829.0,511,247763.0,36,0.5899,0
F,73604.0,744,68027.0,2,0.5761,0
F,66148.0,448,186841.0,17,0.4688,0
F,43508.0,309,242663.0,8,0.3303,0
F,65532.0,841,181527.0,23,0.6967,1
F,83910.0,354,253884.0,6,0.3277,0
F,48067.0,479,130667.0,32,0.5343,0
M,101959.0,680,10000.0,24,0.7599,1
F,49487.0,721,298212.0,33,0.6465,1
M,60648.0,750,297581.0,37,0.7251,1
M,46550.0,392,450364.0,20,0.4298,0
F,64465.0,819,10000.0,37,0.8428,1
M,25156.0,712,275083.0,39,0.6529,1
F,49079.0,693,10000.0,17,0.5162,0
M,38158.0,630,375649.0,38,0.7612,1
F,62707.0,732,248787.0,32,0.6768,1
M,79889.0,462,104807.0,27,0.5155,0
F,72920.0,339,278022.0,24,0.3581,0
F,20000.0,384,144695.0,13,0.3496,0
F,100841.0,390,230042.0,19,0.4924,0
F,65906.0,783,220596.0,38,0.7785,1
F,44470.0,684,374417.0,19,0.521,0
M,63143.0,492,381493.0,6,0.4047,0
M,63524.0,552,140273.0,3,0.5119,0
M,46663.0,543,305811.0,30,0.5371,0
F,63958.0,569,235484.0,29,0.5674,0
M,47851.0,318,58732.0,36,0.4446,0
F,51913.0,339,130377.0,20,0.4597,0
F,46274.0,815,433615.0,0,0.5949,0
M,31347.0,332,235785.0,2,0.4341,0
M,62917.0,749,299978.0,12,0.6769,1
F,71706.0,838,178796.0,6,0.6462,1
M,70298.0,618,146006.0,5,0.578,0
F,76399.0,423,202726.0,5,0.3098,0
F,66487.0,671,173390.0,33,0.5703,0
F,49345.0,650,50675.0,31,0.6469,1
F,76793.0,622,99667.0,15,0.527,0
F,32850.0,787,270788.0,37,0.6972,1
M,41987.0,750,161931.0,7,0.5077,0
M,40716.0,652,202570.0,20,0.5687,0
F,81601.0,415,223492.0,10,0.3985,0
F,78856.0,312,231305.0,22,0.4581,0
M,69746.0,619,314658.0,5,0.5504,0
M,81439.0,464,90130.0,14,0.4461,0
F,42414.0,384,257025.0,10,0.3135,0
M,66972.0,547,275503.0,26,0.6577,1
F,57497.0,731,298585.0,14,0.5637,0
M,76938.0,778,58708.0,37,0.8531,1
F,57696.0,667,225482.0,3,0.4666,0
M,52301.0,656,371608.0,13,0.5961,0
F,70818.0,707,190088.0,9,0.57,0
M,77523.0,644,248349.0,28,0.6797,1
M,46633.0,478,278040.0,11,0.3905,0
F,58778.0,724,97453.0,39,0.6284,1
M,38831.0,840,383382.0,19,0.7095,1
F,20000.0,742,249950.0,36,0.6483,1
M,64009.0,605,251950.0,1,0.4803,0
F,72178.0,666,33797.0,19,0.5513,0
M,65241.0,335,279454.0,11,0.4668,0
F,21009.0,762,250641.0,37,0.7143,1
M,52983.0,445,362419.0,29,0.5735,0
F,20000.0,445,168873.0,17,0.4574,0
M,87394.0,679,101234.0,9,0.5706,0
F,38279.0,467,131776.0,6,0.3759,0
F,85108.0,574,149502.0,4,0.4158,0
F,78917.0,386,88115.0,28,0.4653,0
M,41988.0,453,329016.0,34,0.5339,0
F,37344.0,796,332770.0,38,0.6803,1
M,67007.0,614,180421.0,11,0.5647,0
F,43114.0,573,160724.0,9,0.5543,0
M,62050.0,561,18452.0,36,0.6662,1
F,50343.0,786,269596.0,1,0.5919,0
M,24377.0,753,365344.0,2,0.5447,0
M,20000.0,742,136281.0,13,0.4977,0
F,64534.0,561,188322.0,19,0.4903,0
M,48769.0,842,243429.0,3,0.6067,1
M,48938.0,404,372442.0,25,0.4839,0
F,73917.0,649,219978.0,14,0.5929,0
M,83469.0,737,219543.0,8,0.6918,1
M,54549.0,468,217932.0,2,0.4346,0
M,53188.0,642,57497.0,1,0.5655,0
F,70003.0,529,55321.0,38,0.5736,0
M,32861.0,322,119200.0,29,0.4618,0
F,64463.0,580,301289.0,36,0.6429,1
M,71038.0,818,166464.0,16,0.7628,1
M,73605.0,552,147040.0,2,0.4585,0
M,21265.0,703,145283.0,8,0.6275,1
F,44773.0,432,186234.0,7,0.3169,0
M,42435.0,573,370211.0,8,0.4675,0
M,61998.0,531,184880.0,16,0.5727,0
F,69615.0,844,121370.0,23,0.6374,1
M,89934.0,378,202525.0,7,0.3956,0
F,50101.0,334,375508.0,13,0.3409,0
F,50049.0,794,149718.0,15,0.526,0
M,82993.0,409,81899.0,17,0.4602,0
F,65932.0,620,149901.0,23,0.583,0
M,85353.0,627,212876.0,38,0.6957,1
F,65775.0,683,268824.0,26,0.7195,1
F,36858.0,663,300688.0,27,0.6165,1
M,33337.0,531,95428.0,6,0.4649,0
F,28970.0,713,104915.0,33,0.6349,1
F,73241.0,593,167674.0,26,0.627,1
F,83772.0,846,268449.0,33,0.7912,1
F,96987.0,473,73999.0,38,0.5642,0
F,76862.0,691,139267.0,18,0.6289,1
M,83257.0,401,140726.0,5,0.4,0
F,48400.0,592,294175.0,29,0.5873,0
M,36872.0,384,252826.0,27,0.481,0
F,77002.0,500,290372.0,11,0.4331,0
M,68354.0,840,333868.0,14,0.8196,1
M,62149.0,596,169435.0,38,0.7475,1
F,67747.0,355,81259.0,38,0.4977,0
F,66464.0,771,81904.0,14,0.6486,1
F,85676.0,315,16189.0,35,0.5055,0
M,85900.0,365,154123.0,2,0.3765,0
F,70884.0,771,161578.0,0,0.5884,0
M,76916.0,322,278755.0,6,0.375,0
M,70281.0,785,201691.0,8,0.587,0
M,50777.0,714,150967.0,0,0.5206,0
F,75131.0,604,188400.0,4,0.4627,0
F,32110.0,476,96103.0,35,0.4064,0
M,81078.0,494,302541.0,9,0.574,0
M,36110.0,312,121408.0,1,0.2664,0
F,65716.0,465,86007.0,22,0.4632,0
M,43097.0,449,281788.0,38,0.6813,1
F,71068.0,640,257416.0,28,0.5743,0
M,59321.0,473,27631.0,18,0.5025,0
F,28105.0,466,285500.0,37,0.4218,0
M,68414.0,396,125841.0,19,0.4486,0
F,48442.0,703,162590.0,11,0.5151,0
M,77623.0,376,218702.0,10,0.4936,0
F,60027.0,536,258662.0,34,0.5336,0
F,67908.0,590,244548.0,6,0.5214,0
M,40849.0,435,195018.0,22,0.6122,1
M,48213.0,666,157536.0,16,0.6816,1
F,50827.0,847,241222.0,1,0.4369,0
M,77134.0,547,188161.0,4,0.5322,0
F,93548.0,513,380535.0,20,0.6207,1
M,43897.0,369,258641.0,12,0.3515,0
F,81537.0,628,107658.0,10,0.5375,0
F,20000.0,315,152240.0,23,0.3146,0
F,36116.0,786,204819.0,32,0.7243,1
F,40824.0,473,329943.0,26,0.4456,0
F,32950.0,573,341111.0,34,0.652,1
F,28328.0,823,160387.0,17,0.6731,1
M,68260.0,518,106637.0,20,0.4787,0
M,55719.0,812,93850.0,3,0.5484,0
M,67588.0,698,225243.0,31,0.7275,1
F,73809.0,410,430378.0,10,0.3912,0
F,65312.0,763,253909.0,2,0.553,0
F,73155.0,392,40609.0,20,0.4118,0
F,58609.0,750,127400.0,13,0.5409,0
M,36260.0,695,137609.0,5,0.5396,0
M,81156.0,778,117800.0,28,0.7929,1
F,48218.0,615,161211.0,30,0.6361,1
M,41288.0,652,236939.0,27,0.6907,1
M,56442.0,538,268198.0,35,0.6282,1
F,41744.0,403,309176.0,27,0.4525,0
M,51651.0,328,252420.0,18,0.3265,0
F,66881.0,388,10000.0,2,0.3744,0
M,66967.0,674,94270.0,11,0.6689,1
F,42043.0,696,184191.0,35,0.6802,1
F,50246.0,663,214728.0,23,0.578,0
F,81487.0,446,286142.0,11,0.3917,0
F,69928.0,613,204318.0,23,0.5327,0
M,101501.0,847,205071.0,0,0.6908,1
F,83603.0,751,223780.0,27,0.7251,1
F,82886.0,805,174498.0,15,0.5694,0
F,32243.0,785,208689.0,20,0.544,0
M,75277.0,400,312583.0,29,0.5902,0
F,58938.0,406,191609.0,33,0.5786,0
M,48980.0,590,196979.0,25,0.5868,0
F,63360.0,648,196641.0,34,0.679,1
M,78904.0,526,329777.0,30,0.622,1
M,70017.0,349,89195.0,15,0.4415,0
F,42431.0,457,377585.0,28,0.4177,0
M,74849.0,627,82362.0,28,0.6989,1
F,47248.0,376,134578.0,8,0.2949,0
F,64334.0,753,274474.0,13,0.6166,1
F,53933.0,609,303032.0,7,0.5118,0
M,55623.0,626,59650.0,1,0.5381,0
M,75325.0,807,90730.0,10,0.6474,1
F,39196.0,406,227784.0,1,0.3161,0
F,98904.0,540,434442.0,17,0.5222,0
M,23578.0,734,324626.0,4,0.5741,0
F,48047.0,327,175190.0,6,0.3362,0
F,67404.0,548,10000.0,22,0.5725,0
F,71686.0,663,208164.0,18,0.6624,1
M,57990.0,832,236230.0,18,0.7432,1
M,58852.0,771,161730.0,18,0.7596,1
M,68211.0,838,114928.0,39,0.8778,1
F,55379.0,712,215917.0,27,0.6034,1
F,87864.0,464,105774.0,10,0.4684,0
